tier,annualized_return,annualized_vol,sharpe,var_95_pct
Conservative,0.07547280342383257,0.0971006339447387,0.5712918769964251,0.9648234560767327
Moderate,0.2837635338950825,0.14019582260056757,1.881393674949732,1.2662761723898897
Aggressive,0.3647219642265698,0.21999557352660085,1.5669495467593468,1.9643331742545673
60/40 Benchmark,0.14632228510510967,0.10934738820556571,1.155238247370228,1.055160827303957
