date,tier,cumulative_return
2013-02-11,60/40 Benchmark,-0.00045531522882946707
2013-02-12,60/40 Benchmark,0.0017458113578818768
2013-02-13,60/40 Benchmark,0.00019636421163915507
2013-02-14,60/40 Benchmark,-0.0025495378015301107
2013-02-15,60/40 Benchmark,-0.0031870386078763913
2013-02-19,60/40 Benchmark,0.002476726476844826
2013-02-20,60/40 Benchmark,-0.0033269305266114824
2013-02-21,60/40 Benchmark,-0.0032663954441526366
2013-02-22,60/40 Benchmark,0.0019496297174870225
2013-02-25,60/40 Benchmark,-0.007239861718166374
2013-02-26,60/40 Benchmark,-0.0019974250611533018
2013-02-27,60/40 Benchmark,0.008041930459916857
2013-02-28,60/40 Benchmark,0.006420487688080234
2013-03-01,60/40 Benchmark,0.00910897088169893
2013-03-04,60/40 Benchmark,0.014964073779499598
2013-03-05,60/40 Benchmark,0.026723941116191252
2013-03-06,60/40 Benchmark,0.024736136648986662
2013-03-07,60/40 Benchmark,0.028766840894209667
2013-03-08,60/40 Benchmark,0.03361830221107365
2013-03-11,60/40 Benchmark,0.0349581388330682
2013-03-12,60/40 Benchmark,0.03378258598527761
2013-03-13,60/40 Benchmark,0.036179776474054126
2013-03-14,60/40 Benchmark,0.036892192613578345
2013-03-15,60/40 Benchmark,0.03578335588222625
2013-03-18,60/40 Benchmark,0.031858343218599705
2013-03-19,60/40 Benchmark,0.03185512207422225
2013-03-20,60/40 Benchmark,0.038515129504255174
2013-03-21,60/40 Benchmark,0.033036880228657584
2013-03-22,60/40 Benchmark,0.046894541149868685
2013-03-25,60/40 Benchmark,0.043714195529881206
2013-03-26,60/40 Benchmark,0.05150606254668033
2013-03-27,60/40 Benchmark,0.05005038859982225
2013-03-28,60/40 Benchmark,0.054532584728295364
2013-04-01,60/40 Benchmark,0.05159575949122108
2013-04-02,60/40 Benchmark,0.059060402465274775
2013-04-03,60/40 Benchmark,0.05212091069585534
2013-04-04,60/40 Benchmark,0.057450019675942654
2013-04-05,60/40 Benchmark,0.055534014544437404
2013-04-08,60/40 Benchmark,0.05923250724861573
2013-04-09,60/40 Benchmark,0.062207120270084015
2013-04-10,60/40 Benchmark,0.0720842347171502
2013-04-11,60/40 Benchmark,0.07738953462347853
2013-04-12,60/40 Benchmark,0.07918916787609276
2013-04-15,60/40 Benchmark,0.06382737285187678
2013-04-16,60/40 Benchmark,0.07617587262605952
2013-04-17,60/40 Benchmark,0.06723612143310498
2013-04-18,60/40 Benchmark,0.060825896175526584
2013-04-19,60/40 Benchmark,0.07760530861426695
2013-04-22,60/40 Benchmark,0.08210254340032375
2013-04-23,60/40 Benchmark,0.09035221293398776
2013-04-24,60/40 Benchmark,0.08666871331681336
2013-04-25,60/40 Benchmark,0.09325712526694674
2013-04-26,60/40 Benchmark,0.0885036368779446
2013-04-29,60/40 Benchmark,0.09484551737485303
2013-04-30,60/40 Benchmark,0.09959676944526241
2013-05-01,60/40 Benchmark,0.09095740108485728
